Condition	Model	Region Code	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	4.0	3.0	99.5	6.0	7.0	7.0	2162.0	4.0	4.0	1.0	2.0	0.0	1.0	5.0	1.0	100.0
2.0	0.0	1.0	100.0	3.0	7.0	5.0	385.0	2.0	2.0	23.0	2.0	1.0	3.0	7.0	1.0	50.0
2.0	7.0	3.0	100.0	5.0	7.0	5.0	180.0	7.0	7.0	17.0	1.0	0.0	1.0	5.0	0.0	16.51
2.0	3.0	3.0	89.7	1.0	1.0	5.0	504.0	4.0	3.0	1.0	1.0	1.0	249.0	7.0	0.0	191.5
1.0	4.0	3.0	99.6	9.0	7.0	9.0	2473.0	1.0	1.0	18.0	3.0	0.0	1.0	7.0	0.0	99.99
2.0	2.0	1.0	100.0	3.0	3.0	3.0	150.0	5.0	2.0	3.0	1.0	0.0	1.0	7.0	1.0	335.0
2.0	1.0	1.0	99.4	6.0	7.0	3.0	1247.0	1.0	1.0	1.0	1.0	1.0	40.0	7.0	1.0	140.0
2.0	4.0	3.0	100.0	1.0	7.0	3.0	471.0	5.0	5.0	4.0	2.0	0.0	1.0	7.0	0.0	202.5
2.0	0.0	1.0	100.0	0.0	7.0	3.0	133.0	4.0	4.0	19.0	2.0	0.0	1.0	3.0	0.0	37.0
6.0	2.0	1.0	100.0	2.0	7.0	4.0	669.0	7.0	7.0	23.0	2.0	0.0	1.0	3.0	0.0	456.0
2.0	2.0	1.0	92.3	1.0	7.0	10.0	193.0	5.0	5.0	2.0	2.0	0.0	1.0	7.0	0.0	320.0
1.0	2.0	1.0	99.3	5.0	5.0	6.0	2146.0	6.0	1.0	20.0	1.0	0.0	1.0	7.0	1.0	280.0
6.0	2.0	1.0	100.0	4.0	5.0	6.0	1142.0	6.0	1.0	19.0	1.0	0.0	1.0	7.0	1.0	350.0
1.0	4.0	3.0	98.9	3.0	7.0	4.0	513.0	7.0	7.0	19.0	2.0	1.0	40.0	7.0	1.0	182.5
1.0	4.0	3.0	99.7	10.0	7.0	9.0	4968.0	1.0	1.0	19.0	1.0	1.0	4.0	7.0	1.0	59.99
2.0	4.0	3.0	100.0	0.0	7.0	6.0	498.0	3.0	3.0	1.0	2.0	0.0	1.0	3.0	0.0	190.0
6.0	2.0	1.0	99.0	3.0	1.0	4.0	1485.0	2.0	1.0	2.0	2.0	1.0	40.0	7.0	0.0	416.0
2.0	0.0	1.0	100.0	5.0	1.0	3.0	188.0	3.0	2.0	19.0	2.0	0.0	1.0	3.0	0.0	32.0
2.0	1.0	1.0	100.0	3.0	7.0	4.0	46.0	4.0	4.0	16.0	2.0	0.0	1.0	7.0	0.0	150.5
2.0	4.0	3.0	100.0	1.0	1.0	3.0	297.0	7.0	6.0	14.0	1.0	0.0	1.0	7.0	0.0	150.0
2.0	2.0	1.0	100.0	3.0	5.0	7.0	72.0	2.0	4.0	21.0	2.0	1.0	40.0	7.0	0.0	377.0
2.0	2.0	1.0	100.0	3.0	3.0	5.0	266.0	1.0	5.0	6.0	2.0	0.0	1.0	5.0	0.0	355.0
1.0	4.0	3.0	100.0	3.0	3.0	3.0	243.0	2.0	6.0	19.0	2.0	1.0	40.0	7.0	0.0	96.0
2.0	2.0	1.0	99.6	4.0	7.0	6.0	6288.0	1.0	1.0	16.0	1.0	0.0	1.0	5.0	1.0	335.0
2.0	4.0	3.0	99.8	8.0	7.0	12.0	1712.0	2.0	2.0	0.0	2.0	0.0	1.0	5.0	1.0	100.99
2.0	4.0	3.0	100.0	3.0	5.0	5.0	305.0	1.0	3.0	13.0	2.0	0.0	1.0	5.0	0.0	147.5
2.0	1.0	1.0	99.2	7.0	7.0	4.0	5716.0	1.0	1.0	1.0	3.0	1.0	40.0	7.0	1.0	99.99
2.0	4.0	3.0	99.4	11.0	3.0	4.0	4972.0	2.0	6.0	3.0	1.0	0.0	1.0	5.0	1.0	173.5
2.0	2.0	1.0	100.0	3.0	1.0	3.0	270.0	7.0	6.0	3.0	1.0	0.0	1.0	5.0	0.0	350.0
2.0	2.0	1.0	99.3	5.0	3.0	4.0	2284.0	4.0	1.0	23.0	1.0	0.0	1.0	7.0	1.0	212.5
2.0	4.0	3.0	100.0	2.0	7.0	6.0	475.0	1.0	1.0	20.0	2.0	0.0	1.0	5.0	0.0	122.5
1.0	3.0	3.0	100.0	5.0	7.0	6.0	115.0	7.0	7.0	1.0	2.0	1.0	40.0	7.0	0.0	19.99
2.0	3.0	3.0	100.0	0.0	5.0	3.0	601.0	3.0	5.0	21.0	2.0	1.0	40.0	7.0	0.0	146.0
2.0	3.0	3.0	97.9	2.0	7.0	5.0	154.0	1.0	1.0	23.0	1.0	1.0	40.0	7.0	1.0	68.0
2.0	3.0	2.0	0.0	0.0	7.0	9.0	189.0	2.0	2.0	19.0	2.0	0.0	1.0	3.0	0.0	150.0
1.0	6.0	3.0	99.7	3.0	5.0	4.0	304.0	5.0	7.0	19.0	1.0	0.0	1.0	5.0	0.0	15.5
2.0	1.0	1.0	100.0	3.0	3.0	4.0	274.0	1.0	5.0	23.0	1.0	0.0	249.0	3.0	0.0	145.5
2.0	4.0	3.0	99.3	5.0	7.0	7.0	1102.0	3.0	3.0	20.0	2.0	1.0	35.0	7.0	0.0	157.5
2.0	4.0	3.0	100.0	1.0	7.0	7.0	286.0	6.0	6.0	23.0	1.0	0.0	1.0	3.0	0.0	180.0
1.0	3.0	3.0	100.0	2.0	3.0	6.0	381.0	2.0	6.0	3.0	1.0	0.0	1.0	5.0	0.0	1.54
2.0	4.0	3.0	100.0	3.0	7.0	6.0	929.0	1.0	1.0	0.0	2.0	1.0	40.0	7.0	1.0	200.0
2.0	4.0	3.0	99.5	5.0	7.0	6.0	369.0	3.0	3.0	18.0	1.0	1.0	40.0	7.0	1.0	159.5
2.0	3.0	3.0	0.0	0.0	7.0	7.0	29.0	3.0	3.0	15.0	3.0	0.0	1.0	3.0	0.0	115.33
1.0	3.0	3.0	99.0	4.0	1.0	3.0	510.0	1.0	7.0	1.0	2.0	1.0	40.0	7.0	0.0	41.0
1.0	2.0	1.0	99.3	5.0	7.0	5.0	2182.0	1.0	1.0	15.0	1.0	0.0	1.0	7.0	1.0	231.5
2.0	6.0	3.0	100.0	3.0	5.0	6.0	1898.0	6.0	1.0	17.0	2.0	0.0	1.0	5.0	1.0	50.0
1.0	6.0	3.0	99.0	10.0	3.0	3.0	7725.0	1.0	5.0	3.0	3.0	0.0	1.0	3.0	1.0	15.5
2.0	1.0	1.0	99.9	7.0	7.0	5.0	13908.0	3.0	3.0	2.0	1.0	1.0	40.0	7.0	1.0	146.5
6.0	2.0	1.0	99.4	7.0	1.0	3.0	1741.0	5.0	4.0	12.0	1.0	1.0	249.0	7.0	1.0	395.0
2.0	4.0	3.0	100.0	3.0	5.0	4.0	347.0	6.0	1.0	14.0	1.0	1.0	40.0	7.0	0.0	142.5
1.0	4.0	3.0	98.9	5.0	7.0	5.0	143.0	5.0	5.0	1.0	3.0	1.0	40.0	7.0	0.0	51.0
2.0	4.0	3.0	99.4	11.0	3.0	3.0	4316.0	1.0	5.0	4.0	1.0	0.0	1.0	5.0	1.0	107.5
2.0	4.0	3.0	100.0	3.0	3.0	4.0	181.0	3.0	7.0	5.0	2.0	0.0	1.0	5.0	0.0	122.5
2.0	4.0	3.0	99.4	11.0	3.0	3.0	4316.0	1.0	5.0	4.0	1.0	0.0	1.0	5.0	1.0	114.5
2.0	4.0	3.0	99.4	11.0	1.0	3.0	4316.0	1.0	7.0	1.0	1.0	0.0	1.0	5.0	1.0	128.49
2.0	4.0	3.0	99.4	11.0	3.0	3.0	4308.0	2.0	6.0	0.0	1.0	0.0	1.0	5.0	1.0	112.5
2.0	4.0	3.0	99.4	11.0	1.0	3.0	4308.0	3.0	2.0	1.0	1.0	0.0	1.0	5.0	1.0	113.5
1.0	2.0	1.0	99.3	5.0	3.0	11.0	2186.0	1.0	5.0	17.0	1.0	0.0	1.0	7.0	1.0	134.87
1.0	5.0	3.0	100.0	4.0	1.0	4.0	215.0	2.0	1.0	3.0	1.0	0.0	1.0	5.0	0.0	16.51
2.0	4.0	3.0	99.1	6.0	3.0	3.0	244.0	2.0	6.0	18.0	1.0	0.0	1.0	5.0	1.0	133.0
2.0	4.0	3.0	99.4	5.0	3.0	8.0	1653.0	6.0	3.0	15.0	3.0	0.0	1.0	3.0	1.0	177.72
1.0	3.0	3.0	93.3	2.0	1.0	4.0	183.0	1.0	7.0	16.0	2.0	1.0	3.0	7.0	0.0	39.0
2.0	4.0	3.0	99.7	7.0	7.0	7.0	4948.0	2.0	2.0	22.0	1.0	0.0	1.0	5.0	1.0	108.49
2.0	2.0	1.0	98.4	3.0	1.0	3.0	36.0	2.0	1.0	1.0	2.0	0.0	1.0	7.0	0.0	340.0
2.0	3.0	3.0	99.7	5.0	7.0	11.0	3856.0	4.0	4.0	19.0	1.0	0.0	1.0	3.0	1.0	63.0
1.0	2.0	1.0	100.0	3.0	7.0	3.0	23.0	3.0	3.0	3.0	2.0	0.0	1.0	5.0	0.0	202.5
2.0	4.0	3.0	0.0	0.0	3.0	3.0	23.0	7.0	4.0	21.0	3.0	1.0	40.0	7.0	0.0	122.5
2.0	5.0	3.0	100.0	3.0	7.0	8.0	250.0	7.0	7.0	4.0	2.0	0.0	1.0	7.0	1.0	31.0
2.0	3.0	3.0	96.2	1.0	5.0	5.0	697.0	3.0	5.0	22.0	2.0	0.0	1.0	5.0	0.0	122.5
2.0	4.0	3.0	99.5	6.0	7.0	8.0	2153.0	5.0	5.0	1.0	2.0	0.0	1.0	5.0	1.0	124.05
1.0	6.0	3.0	99.1	3.0	3.0	6.0	254.0	1.0	5.0	1.0	2.0	0.0	1.0	5.0	0.0	15.5
1.0	2.0	1.0	99.3	5.0	5.0	6.0	2146.0	3.0	5.0	17.0	1.0	0.0	1.0	7.0	1.0	300.0
2.0	4.0	3.0	100.0	4.0	7.0	11.0	2617.0	6.0	6.0	19.0	1.0	1.0	40.0	3.0	1.0	130.0
2.0	4.0	3.0	99.4	11.0	1.0	3.0	4316.0	5.0	4.0	3.0	1.0	0.0	1.0	5.0	1.0	108.5
6.0	2.0	1.0	100.0	3.0	7.0	5.0	328.0	1.0	1.0	22.0	1.0	0.0	1.0	5.0	0.0	369.0
2.0	2.0	1.0	99.3	5.0	7.0	6.0	2146.0	1.0	1.0	23.0	1.0	0.0	1.0	7.0	1.0	305.0
1.0	2.0	1.0	99.3	5.0	3.0	6.0	2198.0	7.0	4.0	23.0	1.0	0.0	1.0	7.0	1.0	147.5
