Condition	Model	Region Code	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
1.0	0.285714285714	0.333333333333	1.0	0.416666666667	0.222222222222	0.666666666667	0.00397	1.0	0.5	0.826086956522	0.1	0.0	0.00401606425703	0.428571428571	0.0	16
0.2	0.571428571429	1.0	1.0	0.25	0.666666666667	0.111111111111	0.000786	0.166666666667	0.166666666667	0.0869565217391	0.05	1.0	0.160642570281	1.0	0.0	6
0.2	0.571428571429	1.0	1.0	0.25	0.222222222222	0.888888888889	0.000336	0.0	0.666666666667	0.652173913043	0.05	1.0	0.160642570281	1.0	0.0	7
0.2	0.571428571429	1.0	0.5	0.0833333333333	0.222222222222	0.222222222222	0.000714	0.833333333333	0.333333333333	0.0869565217391	0.05	1.0	0.160642570281	1.0	0.0	6
0.0	0.428571428571	1.0	0.994	0.25	0.0	0.333333333333	0.003402	0.833333333333	0.666666666667	0.0	0.05	1.0	0.0200803212851	1.0	1.0	1
1.0	0.571428571429	1.0	1.0	0.0	0.666666666667	0.222222222222	0.000334	0.166666666667	0.166666666667	0.826086956522	0.1	0.0	0.00401606425703	0.714285714286	0.0	7
0.2	0.428571428571	1.0	1.0	0.0	0.444444444444	0.0	0.000918	0.0	0.333333333333	0.173913043478	0.1	1.0	1.0	1.0	0.0	5
0.2	0.571428571429	1.0	0.994	0.916666666667	0.222222222222	0.0	0.008616	0.166666666667	0.833333333333	1.0	0.05	0.0	0.00401606425703	0.714285714286	1.0	6
0.0	0.428571428571	1.0	0.993	0.5	0.444444444444	0.333333333333	0.02723	1.0	0.166666666667	0.826086956522	0.1	1.0	0.160642570281	1.0	0.0	3
0.2	0.428571428571	1.0	1.0	0.0833333333333	0.666666666667	0.444444444444	0.000364	0.333333333333	0.333333333333	0.217391304348	0.1	0.0	0.00401606425703	1.0	0.0	4
0.0	0.571428571429	1.0	0.994	0.5	0.0	0.0	0.00229	0.0	1.0	0.217391304348	0.05	1.0	0.160642570281	1.0	1.0	4
0.2	0.571428571429	1.0	0.995	0.25	0.666666666667	0.444444444444	0.00035	0.0	0.0	0.0434782608696	0.1	1.0	0.160642570281	1.0	0.0	6
0.0	0.714285714286	1.0	0.99	0.25	0.0	0.111111111111	0.000346	1.0	0.833333333333	0.95652173913	0.05	1.0	0.160642570281	1.0	1.0	2
0.2	0.857142857143	1.0	1.0	0.25	0.666666666667	0.333333333333	0.000708	1.0	1.0	1.0	0.0	1.0	0.00401606425703	0.714285714286	0.0	3
0.2	0.571428571429	1.0	0.994	0.333333333333	0.0	0.111111111111	0.00767	0.0	1.0	0.0869565217391	0.0	0.0	0.00401606425703	0.714285714286	1.0	9
0.2	0.571428571429	1.0	0.995	0.5	0.666666666667	0.555555555556	0.004268	0.166666666667	0.166666666667	0.0434782608696	0.1	0.0	0.00401606425703	0.714285714286	1.0	7
0.2	0.428571428571	1.0	1.0	0.0833333333333	0.222222222222	0.666666666667	0.001016	0.166666666667	0.833333333333	0.695652173913	0.15	1.0	0.160642570281	1.0	0.0	8
0.2	0.285714285714	0.333333333333	0.997	0.583333333333	0.666666666667	1.0	0.002498	0.666666666667	0.666666666667	0.0434782608696	0.05	1.0	0.160642570281	1.0	1.0	14
0.2	0.285714285714	0.333333333333	0.993	0.416666666667	0.666666666667	0.555555555556	0.00399	0.166666666667	0.166666666667	0.652173913043	0.05	0.0	0.00401606425703	1.0	1.0	15
0.2	0.714285714286	1.0	0.994	0.25	0.666666666667	0.444444444444	0.000746	0.0	0.0	0.95652173913	0.05	1.0	0.160642570281	1.0	0.0	2
0.2	0.571428571429	1.0	0.997	0.583333333333	0.666666666667	0.777777777778	0.005146	0.333333333333	0.333333333333	0.0869565217391	0.05	0.0	0.00401606425703	0.714285714286	1.0	6
0.0	0.285714285714	0.333333333333	0.996	0.416666666667	0.0	0.0	0.000868	0.666666666667	0.5	0.0	0.05	0.0	0.00401606425703	0.714285714286	0.0	8
0.2	0.428571428571	0.333333333333	1.0	0.25	0.666666666667	0.111111111111	0.00038	1.0	1.0	0.826086956522	0.1	1.0	1.0	1.0	0.0	5
0.2	1.0	1.0	1.0	0.25	0.222222222222	0.111111111111	0.001122	0.333333333333	1.0	0.652173913043	0.1	0.0	0.00401606425703	0.714285714286	0.0	2
0.2	0.571428571429	1.0	1.0	0.0833333333333	0.666666666667	1.0	0.000942	0.166666666667	0.166666666667	0.0434782608696	0.05	0.0	0.00401606425703	0.714285714286	0.0	7
0.0	0.428571428571	1.0	0.984	0.333333333333	0.666666666667	0.333333333333	0.00578	0.5	0.5	0.0434782608696	0.15	1.0	0.160642570281	1.0	0.0	2
0.2	0.714285714286	1.0	0.988	0.333333333333	0.666666666667	0.222222222222	0.001042	0.5	0.5	0.0869565217391	0.1	0.0	0.00401606425703	1.0	1.0	1
0.2	0.285714285714	1.0	1.0	0.0	0.222222222222	1.0	0.001052	0.666666666667	0.166666666667	0.782608695652	0.05	0.0	0.00401606425703	0.428571428571	0.0	17
0.0	0.571428571429	1.0	0.994	0.666666666667	0.666666666667	0.0	0.003094	0.5	0.5	0.826086956522	0.05	0.0	0.00401606425703	1.0	0.0	3
0.2	0.857142857143	1.0	1.0	0.25	0.444444444444	0.111111111111	0.000442	1.0	0.166666666667	0.565217391304	0.1	0.0	0.00401606425703	0.714285714286	0.0	2
0.0	0.428571428571	1.0	0.996	0.333333333333	0.222222222222	0.555555555556	0.002856	0.0	0.666666666667	0.739130434783	0.05	0.0	0.00401606425703	0.714285714286	0.0	1
0.0	0.571428571429	1.0	1.0	0.5	0.666666666667	0.0	0.001858	0.333333333333	0.333333333333	1.0	0.05	0.0	0.00401606425703	0.714285714286	1.0	5
0.2	0.571428571429	1.0	0.0	0.0	1.0	0.333333333333	0.00046	0.333333333333	1.0	0.782608695652	0.15	0.0	0.00401606425703	1.0	0.0	5
