Condition	Model	Storage	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	4.0	2.0	100.0	1.0	5.0	6.0	319.0	4.0	6.0	14.0	3.0	0.0	1.0	7.0	0.0	8
2.0	5.0	4.0	100.0	3.0	7.0	3.0	226.0	5.0	5.0	11.0	2.0	0.0	1.0	7.0	0.0	15
1.0	3.0	3.0	100.0	4.0	7.0	4.0	245.0	4.0	4.0	19.0	3.0	1.0	39.0	7.0	0.0	3
2.0	0.0	1.0	100.0	1.0	7.0	12.0	880.0	5.0	5.0	20.0	2.0	0.0	1.0	5.0	0.0	4
2.0	3.0	2.0	94.9	2.0	5.0	3.0	203.0	5.0	7.0	8.0	3.0	0.0	1.0	5.0	1.0	5
2.0	3.0	1.0	100.0	4.0	7.0	6.0	77.0	6.0	6.0	6.0	2.0	0.0	1.0	5.0	0.0	4
1.0	4.0	2.0	100.0	3.0	7.0	5.0	1190.0	5.0	5.0	19.0	2.0	1.0	39.0	7.0	0.0	4
2.0	5.0	3.0	100.0	4.0	7.0	7.0	1307.0	4.0	4.0	20.0	3.0	0.0	1.0	3.0	0.0	14
2.0	4.0	3.0	100.0	3.0	7.0	3.0	511.0	5.0	5.0	4.0	3.0	1.0	39.0	7.0	0.0	12
6.0	5.0	2.0	98.5	4.0	5.0	12.0	652.0	5.0	7.0	1.0	1.0	1.0	39.0	3.0	1.0	11
2.0	7.0	2.0	100.0	3.0	5.0	12.0	2591.0	5.0	7.0	4.0	1.0	0.0	1.0	3.0	1.0	22
2.0	5.0	4.0	100.0	5.0	3.0	7.0	346.0	4.0	1.0	22.0	1.0	1.0	39.0	7.0	0.0	18
2.0	5.0	2.0	100.0	3.0	1.0	7.0	23.0	5.0	4.0	23.0	2.0	0.0	1.0	7.0	0.0	7
2.0	6.0	2.0	98.4	3.0	7.0	4.0	201.0	6.0	6.0	0.0	2.0	1.0	39.0	7.0	0.0	10
1.0	4.0	2.0	98.0	3.0	3.0	4.0	264.0	4.0	1.0	23.0	2.0	1.0	39.0	7.0	0.0	3
2.0	3.0	2.0	100.0	4.0	3.0	5.0	1142.0	4.0	1.0	16.0	2.0	0.0	1.0	7.0	0.0	7
2.0	3.0	1.0	0.0	0.0	10.0	4.0	389.0	4.0	1.0	16.0	2.0	0.0	1.0	7.0	0.0	8
6.0	4.0	2.0	100.0	1.0	7.0	3.0	121.0	4.0	4.0	15.0	2.0	0.0	1.0	7.0	0.0	12
2.0	6.0	2.0	99.5	4.0	3.0	7.0	99.0	6.0	3.0	1.0	1.0	1.0	39.0	7.0	1.0	9
2.0	5.0	2.0	97.0	3.0	1.0	4.0	156.0	4.0	3.0	22.0	1.0	1.0	39.0	7.0	1.0	14
