Condition	Model	Storage	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	7.0	2.0	100.0	3.0	5.0	12.0	2591.0	5.0	7.0	4.0	1.0	0.0	1.0	3.0	1.0	533.0
2.0	5.0	4.0	100.0	5.0	3.0	7.0	346.0	4.0	1.0	22.0	1.0	1.0	39.0	7.0	0.0	446.25
2.0	5.0	2.0	100.0	3.0	1.0	7.0	23.0	5.0	4.0	23.0	2.0	0.0	1.0	7.0	0.0	167.5
2.0	6.0	2.0	98.4	3.0	7.0	4.0	201.0	6.0	6.0	0.0	2.0	1.0	39.0	7.0	0.0	242.5
1.0	4.0	2.0	98.0	3.0	3.0	4.0	264.0	4.0	1.0	23.0	2.0	1.0	39.0	7.0	0.0	57.0
2.0	3.0	2.0	100.0	4.0	3.0	5.0	1142.0	4.0	1.0	16.0	2.0	0.0	1.0	7.0	0.0	157.5
2.0	3.0	1.0	0.0	0.0	10.0	4.0	389.0	4.0	1.0	16.0	2.0	0.0	1.0	7.0	0.0	192.5
6.0	4.0	2.0	100.0	1.0	7.0	3.0	121.0	4.0	4.0	15.0	2.0	0.0	1.0	7.0	0.0	296.11
2.0	6.0	2.0	99.5	4.0	3.0	7.0	99.0	6.0	3.0	1.0	1.0	1.0	39.0	7.0	1.0	217.5
2.0	5.0	2.0	97.0	3.0	1.0	4.0	156.0	4.0	3.0	22.0	1.0	1.0	39.0	7.0	1.0	330.0
2.0	3.0	2.0	0.0	0.0	7.0	7.0	507.0	4.0	4.0	16.0	1.0	0.0	1.0	7.0	0.0	127.5
2.0	4.0	2.0	99.7	5.0	5.0	3.0	911.0	4.0	6.0	21.0	1.0	1.0	39.0	7.0	1.0	142.52
2.0	2.0	1.0	100.0	3.0	7.0	3.0	476.0	6.0	6.0	1.0	1.0	1.0	39.0	3.0	0.0	56.0
2.0	4.0	3.0	98.8	3.0	7.0	3.0	1610.0	4.0	4.0	20.0	2.0	1.0	39.0	3.0	0.0	122.5
2.0	4.0	2.0	100.0	3.0	7.0	4.0	245.0	6.0	6.0	3.0	3.0	1.0	39.0	7.0	0.0	122.5
2.0	4.0	2.0	100.0	1.0	5.0	4.0	307.0	4.0	6.0	20.0	2.0	0.0	1.0	7.0	0.0	232.5
2.0	3.0	2.0	100.0	3.0	7.0	3.0	245.0	5.0	5.0	17.0	2.0	0.0	1.0	3.0	0.0	102.5
2.0	4.0	3.0	100.0	2.0	3.0	3.0	2752.0	5.0	2.0	16.0	2.0	1.0	39.0	7.0	1.0	162.5
6.0	3.0	2.0	99.0	3.0	3.0	4.0	1685.0	5.0	2.0	0.0	1.0	1.0	39.0	7.0	1.0	91.0
2.0	5.0	2.0	100.0	3.0	5.0	4.0	274.0	5.0	7.0	15.0	2.0	1.0	39.0	7.0	0.0	325.0
2.0	5.0	2.0	100.0	4.0	3.0	6.0	1216.0	6.0	3.0	1.0	1.0	0.0	1.0	5.0	0.0	335.0
2.0	5.0	2.0	100.0	2.0	3.0	7.0	194.0	5.0	2.0	3.0	2.0	0.0	1.0	3.0	0.0	295.0
1.0	5.0	3.0	100.0	1.0	3.0	3.0	440.0	4.0	1.0	22.0	2.0	0.0	1.0	3.0	0.0	305.55
2.0	3.0	2.0	100.0	2.0	7.0	9.0	539.0	5.0	5.0	1.0	2.0	0.0	1.0	3.0	0.0	55.0
2.0	3.0	1.0	100.0	3.0	7.0	3.0	366.0	6.0	6.0	1.0	3.0	0.0	1.0	7.0	0.0	117.5
